student_id,student_name,program_id,branch,year,section_id
SYNSTU0001,Student_SYNSTU0001,P01,IT,1,S_IT_1_A
SYNSTU0002,Student_SYNSTU0002,P01,IT,1,S_IT_1_A
SYNSTU0003,Student_SYNSTU0003,P01,IT,1,S_IT_1_A
SYNSTU0004,Student_SYNSTU0004,P01,IT,1,S_IT_1_A
SYNSTU0005,Student_SYNSTU0005,P01,IT,1,S_IT_1_A
SYNSTU0006,Student_SYNSTU0006,P01,IT,1,S_IT_1_A
SYNSTU0007,Student_SYNSTU0007,P01,IT,1,S_IT_1_A
SYNSTU0008,Student_SYNSTU0008,P01,IT,1,S_IT_1_A
SYNSTU0009,Student_SYNSTU0009,P01,IT,1,S_IT_1_A
SYNSTU0010,Student_SYNSTU0010,P01,IT,1,S_IT_1_A
SYNSTU0011,Student_SYNSTU0011,P01,IT,1,S_IT_1_A
SYNSTU0012,Student_SYNSTU0012,P01,IT,1,S_IT_1_A
SYNSTU0013,Student_SYNSTU0013,P01,IT,1,S_IT_1_A
SYNSTU0014,Student_SYNSTU0014,P01,IT,1,S_IT_1_A
SYNSTU0015,Student_SYNSTU0015,P01,IT,1,S_IT_1_A
SYNSTU0016,Student_SYNSTU0016,P01,IT,1,S_IT_1_A
SYNSTU0017,Student_SYNSTU0017,P01,IT,1,S_IT_1_A
SYNSTU0018,Student_SYNSTU0018,P01,IT,1,S_IT_1_A
SYNSTU0019,Student_SYNSTU0019,P01,IT,1,S_IT_1_A
SYNSTU0020,Student_SYNSTU0020,P01,IT,1,S_IT_1_A
SYNSTU0021,Student_SYNSTU0021,P01,IT,1,S_IT_1_A
SYNSTU0022,Student_SYNSTU0022,P01,IT,1,S_IT_1_A
SYNSTU0023,Student_SYNSTU0023,P01,IT,1,S_IT_1_A
SYNSTU0024,Student_SYNSTU0024,P01,IT,1,S_IT_1_A
SYNSTU0025,Student_SYNSTU0025,P01,IT,1,S_IT_1_A
SYNSTU0026,Student_SYNSTU0026,P01,IT,1,S_IT_1_A
