student_id,student_name,program_id,branch,year,section_id
STU00001,Student_STU00001,P_AIDS,AIDS,3,AIDS-V_B1
STU00002,Student_STU00002,P_AIDS,AIDS,3,AIDS-V_B1
STU00003,Student_STU00003,P_AIDS,AIDS,3,AIDS-V_B1
STU00004,Student_STU00004,P_AIDS,AIDS,3,AIDS-V_B1
STU00005,Student_STU00005,P_AIDS,AIDS,3,AIDS-V_B1
STU00006,Student_STU00006,P_AIDS,AIDS,3,AIDS-V_B1
STU00007,Student_STU00007,P_AIDS,AIDS,3,AIDS-V_B1
STU00008,Student_STU00008,P_AIDS,AIDS,3,AIDS-V_B1
STU00009,Student_STU00009,P_AIDS,AIDS,3,AIDS-V_B1
STU00010,Student_STU00010,P_AIDS,AIDS,3,AIDS-V_B1
STU00011,Student_STU00011,P_AIDS,AIDS,3,AIDS-V_B1
STU00012,Student_STU00012,P_AIDS,AIDS,3,AIDS-V_B1
STU00013,Student_STU00013,P_AIDS,AIDS,3,AIDS-V_B1
STU00014,Student_STU00014,P_AIDS,AIDS,3,AIDS-V_B1
STU00015,Student_STU00015,P_AIDS,AIDS,3,AIDS-V_B1
STU00016,Student_STU00016,P_AIDS,AIDS,3,AIDS-V_B1
STU00017,Student_STU00017,P_AIDS,AIDS,3,AIDS-V_B1
STU00018,Student_STU00018,P_AIDS,AIDS,3,AIDS-V_B1
STU00019,Student_STU00019,P_AIDS,AIDS,3,AIDS-V_B1
STU00020,Student_STU00020,P_AIDS,AIDS,3,AIDS-V_B1
STU00021,Student_STU00021,P_AIDS,AIDS,3,AIDS-V_B1
STU00022,Student_STU00022,P_AIDS,AIDS,3,AIDS-V_B1
STU00023,Student_STU00023,P_AIDS,AIDS,3,AIDS-V_B1
STU00024,Student_STU00024,P_AIDS,AIDS,3,AIDS-V_B1
STU00025,Student_STU00025,P_AIDS,AIDS,3,AIDS-V_B1
STU00026,Student_STU00026,P_AIDS,AIDS,3,AIDS-V_B1
STU00027,Student_STU00027,P_AIDS,AIDS,3,AIDS-V_B1
STU00028,Student_STU00028,P_AIDS,AIDS,3,AIDS-V_B1
STU00029,Student_STU00029,P_AIDS,AIDS,3,AIDS-V_B1
STU00030,Student_STU00030,P_AIDS,AIDS,3,AIDS-V_B1
STU00031,Student_STU00031,P_AIDS,AIDS,3,AIDS-V_B1
STU00032,Student_STU00032,P_AIDS,AIDS,3,AIDS-V_B1
STU00033,Student_STU00033,P_AIDS,AIDS,3,AIDS-V_B1
STU00034,Student_STU00034,P_AIDS,AIDS,3,AIDS-V_B1
STU00035,Student_STU00035,P_AIDS,AIDS,3,AIDS-V_B1
STU00036,Student_STU00036,P_AIDS,AIDS,3,AIDS-V_B1
STU00037,Student_STU00037,P_AIDS,AIDS,3,AIDS-V_B1
STU00038,Student_STU00038,P_AIDS,AIDS,3,AIDS-V_B1
STU00039,Student_STU00039,P_AIDS,AIDS,3,AIDS-V_B1
STU00040,Student_STU00040,P_AIDS,AIDS,3,AIDS-V_B2
STU00041,Student_STU00041,P_AIDS,AIDS,3,AIDS-V_B2
STU00042,Student_STU00042,P_AIDS,AIDS,3,AIDS-V_B2
STU00043,Student_STU00043,P_AIDS,AIDS,3,AIDS-V_B2
STU00044,Student_STU00044,P_AIDS,AIDS,3,AIDS-V_B2
STU00045,Student_STU00045,P_AIDS,AIDS,3,AIDS-V_B2
STU00046,Student_STU00046,P_AIDS,AIDS,3,AIDS-V_B2
STU00047,Student_STU00047,P_AIDS,AIDS,3,AIDS-V_B2
STU00048,Student_STU00048,P_AIDS,AIDS,3,AIDS-V_B2
STU00049,Student_STU00049,P_AIDS,AIDS,3,AIDS-V_B2
STU00050,Student_STU00050,P_AIDS,AIDS,3,AIDS-V_B2
STU00051,Student_STU00051,P_AIDS,AIDS,3,AIDS-V_B2
STU00052,Student_STU00052,P_AIDS,AIDS,3,AIDS-V_B2
STU00053,Student_STU00053,P_AIDS,AIDS,3,AIDS-V_B2
STU00054,Student_STU00054,P_AIDS,AIDS,3,AIDS-V_B2
STU00055,Student_STU00055,P_AIDS,AIDS,3,AIDS-V_B2
STU00056,Student_STU00056,P_AIDS,AIDS,3,AIDS-V_B2
